DATE,BOROUGH,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS
1994 / 02,Brooklyn,59928.5,4148.0,3396.9,0.0,0.0,0.0,0.0
1994 / 02,Manhattan,36330.1,4380.2,1951.6,0.0,0.0,0.0,0.0
1994 / 02,Queens,43960.5,3419.5,2337.9,0.0,0.0,0.0,0.0
1994 / 02,Staten Island,10812.5,1153.0,653.8,0.0,0.0,0.0,0.0
1994 / 03,Bronx,37171.0,1540.9,1361.4,0.0,0.0,0.0,0.0
1994 / 03,Brooklyn,80308.1,7090.599999999999,5374.9,0.0,0.0,0.0,0.0
1994 / 03,Manhattan,43105.5,6267.7,2762.4,0.0,0.0,0.0,0.0
1994 / 03,Queens,59331.4,8144.7,4964.0,0.0,0.0,0.0,0.0
1994 / 03,Staten Island,14399.1,2754.7,1175.3,0.0,0.0,0.0,0.0
1994 / 04,Bronx,35819.7,1390.8,1197.4,0.0,0.0,0.0,0.0
1994 / 04,Brooklyn,75039.8,6043.6,4893.1,0.0,0.0,0.0,0.0
1994 / 04,Manhattan,40844.5,6093.6,2635.7,0.0,0.0,0.0,0.0
1994 / 04,Queens,65381.9,6361.1,4124.2,0.0,0.0,0.0,0.0
1994 / 04,Staten Island,17475.9,2148.2,1040.9,0.0,0.0,0.0,0.0
1994 / 05,Bronx,35265.4,1316.2,1154.3,0.0,0.0,0.0,0.0
1994 / 05,Brooklyn,75551.2,5873.5,4567.5,0.0,0.0,0.0,0.0
1994 / 05,Manhattan,41002.0,5347.8,2405.7999999999997,0.0,0.0,0.0,0.0
1994 / 05,Queens,67224.7,6334.2,3994.6,0.0,0.0,0.0,0.0
1994 / 05,Staten Island,17492.7,2120.0,1014.7,0.0,0.0,0.0,0.0
1994 / 06,Bronx,40049.8,1970.8,1771.0,0.0,0.0,0.0,0.0
1994 / 06,Brooklyn,79916.2,6338.0,5082.8,0.0,0.0,0.0,0.0
1994 / 06,Manhattan,43531.3,5585.0,2606.4,0.0,0.0,0.0,0.0
1994 / 06,Queens,70486.9,7140.9,4208.400000000001,0.0,0.0,0.0,0.0
1994 / 06,Staten Island,17870.0,2157.7,1052.3,0.0,0.0,0.0,0.0
1994 / 07,Bronx,37781.3,1909.9,1874.4,0.0,0.0,0.0,0.0
1994 / 07,Brooklyn,75033.2,6285.9,5009.0,0.0,0.0,0.0,0.0
1994 / 07,Manhattan,40157.3,4951.5,2491.1,0.0,0.0,0.0,0.0
1994 / 07,Queens,65619.0,6202.3,4385.6,0.0,0.0,0.0,0.0
1994 / 07,Staten Island,15604.5,1950.6,1083.1,0.0,0.0,0.0,0.0
1994 / 08,Bronx,40331.5,1874.0,1794.7,0.0,0.0,0.0,0.0
1994 / 08,Brooklyn,77271.8,5956.9,4636.7,0.0,0.0,0.0,0.0
1994 / 08,Manhattan,42642.6,4869.3,2264.1,0.0,0.0,0.0,0.0
1994 / 08,Queens,70263.1,6198.9,4172.2,0.0,0.0,0.0,0.0
1994 / 08,Staten Island,16760.7,2046.1999999999998,1020.5999999999999,0.0,0.0,0.0,0.0
1994 / 09,Bronx,36787.3,2049.4,1819.6,0.0,0.0,0.0,0.0
1994 / 09,Brooklyn,71485.7,5828.3,4617.1,0.0,0.0,0.0,0.0
1994 / 09,Manhattan,41429.0,5615.2,2498.6,0.0,0.0,0.0,0.0
1994 / 09,Queens,63139.0,6184.3,3921.4,0.0,0.0,0.0,0.0
1994 / 09,Staten Island,15422.199999999999,2065.6,971.2,0.0,0.0,0.0,0.0
1994 / 10,Bronx,37001.0,1974.3,1652.5,0.0,0.0,0.0,0.0
1994 / 10,Brooklyn,70547.6,5755.2,4215.5,0.0,0.0,0.0,0.0
1994 / 10,Manhattan,41498.6,5666.700000000001,2452.4,0.0,0.0,0.0,0.0
1994 / 10,Queens,62211.9,6031.1,3649.4,0.0,0.0,0.0,0.0
1994 / 10,Staten Island,15254.5,2067.9,927.6,0.0,0.0,0.0,0.0
1994 / 11,Bronx,38702.6,1943.5,1540.8,0.0,0.0,0.0,0.0
1994 / 11,Brooklyn,74873.5,5809.1,3907.3,0.0,0.0,0.0,0.0
1994 / 11,Manhattan,43816.5,5238.0,2191.8,0.0,0.0,0.0,0.0
1994 / 11,Queens,66911.9,6128.5,3500.0,0.0,0.0,0.0,0.0
1994 / 11,Staten Island,14493.6,2234.9,923.7,0.0,0.0,2376.0,0.0
1994 / 12,Bronx,38214.4,2607.0,1919.4,0.0,0.0,0.0,6.4
1994 / 12,Brooklyn,73481.8,6545.8,4539.4,0.0,0.0,0.0,0.0
1994 / 12,Manhattan,43984.2,6440.2,2944.0,0.0,0.0,0.0,0.0
1994 / 12,Queens,62096.8,6771.9,4081.2,0.0,0.0,0.0,0.0
1994 / 12,Staten Island,14769.2,2416.1,1023.2,0.0,0.0,404.9,0.0
1995 / 01,Bronx,35950.9,1843.4,1691.3,0.0,0.0,0.0,109.7
1995 / 01,Brooklyn,68093.6,5162.9,4425.3,0.0,0.0,0.0,214.5
1995 / 01,Manhattan,43405.8,4741.4,2555.5,0.0,0.0,0.0,387.9
1995 / 01,Queens,55780.9,5564.7,4050.0,0.0,0.0,0.0,314.6
1995 / 01,Staten Island,13450.5,1880.6999999999998,1004.0999999999999,0.0,0.0,0.0,303.9
1995 / 02,Bronx,32534.1,1588.9,1489.1,0.0,0.0,0.0,0.0
1995 / 02,Brooklyn,57274.5,4399.5,3733.8,0.0,0.0,0.0,0.0
1995 / 02,Manhattan,37018.4,4669.599999999999,2292.1,0.0,0.0,0.0,0.0
1995 / 02,Queens,46424.7,4696.9,3387.6,0.0,0.0,0.0,0.0
1995 / 02,Staten Island,10777.099999999999,1556.2,826.8,0.0,0.0,0.0,0.0
1995 / 03,Bronx,35877.8,2059.9,1833.0,0.0,0.0,0.0,0.0
1995 / 03,Brooklyn,68928.4,5519.1,4519.2,0.0,0.0,0.0,0.0
1995 / 03,Manhattan,41367.8,5752.8,2677.2,0.0,0.0,0.0,0.0
1995 / 03,Queens,58804.4,5953.8,4001.7000000000003,0.0,0.0,0.0,0.0
1995 / 03,Staten Island,14348.8,2048.9,1013.5,0.0,0.0,0.0,0.0
1995 / 04,Bronx,34192.700000000004,1967.0,1659.0,0.0,0.0,0.0,0.0
1995 / 04,Brooklyn,68515.8,4983.6,4286.8,0.0,0.0,0.0,0.0
1995 / 04,Manhattan,38770.5,5209.1,2437.1,0.0,0.0,0.0,0.0
1995 / 04,Queens,59213.0,5092.2,3740.1,0.0,0.0,0.0,0.0
1995 / 04,Staten Island,15348.5,1913.9,953.9,0.0,0.0,0.0,0.0
1995 / 05,Bronx,39393.6,1992.9,1733.0,0.0,0.0,0.0,0.0
1995 / 05,Brooklyn,76344.1,5437.9,4429.4,0.0,0.0,0.0,0.0
1995 / 05,Manhattan,43346.3,4827.0,2519.3,0.0,0.0,0.0,0.0
1995 / 05,Queens,70695.8,5605.2,4160.9,0.0,0.0,0.0,0.0
1995 / 05,Staten Island,18681.9,2175.7,1060.0,0.0,0.0,0.0,0.0
1995 / 06,Bronx,38635.1,2120.9,2023.4,0.0,0.0,0.0,0.0
1995 / 06,Brooklyn,76756.4,5688.8,5056.4,0.0,0.0,0.0,0.0
1995 / 06,Manhattan,42581.2,4104.9,2731.6,0.0,0.0,0.0,0.0
1995 / 06,Queens,70448.0,5691.3,4523.6,0.0,0.0,0.0,0.0
1995 / 06,Staten Island,17660.5,2080.1,1116.9,0.0,0.0,0.0,0.0
1995 / 07,Bronx,37879.3,1774.2,1907.1,0.0,0.0,0.0,0.0
1995 / 07,Brooklyn,73390.4,5539.8,4788.2,0.0,0.0,0.0,0.0
1995 / 07,Manhattan,39855.1,3194.2,2434.4,0.0,0.0,0.0,0.0
1995 / 07,Queens,66661.6,4938.5,4528.1,0.0,0.0,0.0,0.0
1995 / 07,Staten Island,16238.7,1913.1,1109.9,0.0,0.0,0.0,0.0
1995 / 08,Bronx,37701.3,1752.3,1983.6,0.0,0.0,0.0,0.0
1995 / 08,Brooklyn,72194.2,4890.0,4819.8,0.0,0.0,0.0,0.0
1995 / 08,Manhattan,40640.9,3456.5,2472.9,0.0,0.0,0.0,0.0
1995 / 08,Queens,65223.7,4751.4,4587.1,0.0,0.0,0.0,0.0
1995 / 08,Staten Island,15471.0,1745.8,1063.5,0.0,0.0,0.0,0.0
1995 / 09,Bronx,36106.9,1876.9,1857.6,0.0,0.0,0.0,0.0
1995 / 09,Brooklyn,68498.4,5199.6,4554.8,0.0,0.0,0.0,0.0
1995 / 09,Manhattan,40620.7,3926.7000000000003,2593.4,0.0,0.0,0.0,0.0
1995 / 09,Queens,62075.3,5699.1,4269.4,0.0,0.0,0.0,0.0
1995 / 09,Staten Island,14788.3,1978.0,1019.0,0.0,0.0,0.0,0.0
1995 / 10,Bronx,37500.8,1961.9,1735.5,0.0,0.0,0.0,0.0
1995 / 10,Brooklyn,71560.5,5603.6,4566.2,0.0,0.0,0.0,0.0
1995 / 10,Manhattan,42115.2,3920.2,2460.5,0.0,0.0,0.0,0.0
1995 / 10,Queens,63375.4,5502.0,4101.1,0.0,0.0,0.0,0.0
1995 / 10,Staten Island,14939.599999999999,2038.2,996.7,0.0,0.0,327.7,0.0
1995 / 11,Bronx,37763.3,2169.2,1793.0,0.0,0.0,0.0,0.0
1995 / 11,Brooklyn,72648.1,6031.3,4439.4,0.0,0.0,0.0,0.0
1995 / 11,Manhattan,42615.5,5290.7,2697.4,0.0,0.0,0.0,0.0
