DATE,BOROUGH,POPULATION,POPULATION PERCENTAGE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,TSUN
1994 / 09,Manhattan,1487536,20.31,,84.6,0,19.79,24.29,15.29,13605
1994 / 10,Manhattan,1487536,20.31,,34.3,0,14.43,19.21,9.66,14276
1994 / 11,Manhattan,1487536,20.31,,110.3,0,11.07,15.28,6.87,9481
1994 / 12,Manhattan,1487536,20.31,,73.8,0,5.64,9.4,1.89,9832
1994 / 01,Queens,1951598,26.65,,142.7,305,-3.6,0.66,-7.85,7654
1994 / 02,Queens,1951598,26.65,,87.4,671,-0.79,3.3,-4.88,10884
1994 / 03,Queens,1951598,26.65,,160.6,206,4.81,8.89,0.72,11393
1994 / 04,Queens,1951598,26.65,,61.6,0,13.12,18.44,7.8,15262
1994 / 05,Queens,1951598,26.65,,107.9,0,16.54,22.42,10.65,18539
1994 / 06,Queens,1951598,26.65,,81.6,0,23.98,29.26,18.7,18127
1994 / 07,Queens,1951598,26.65,,98,0,26.32,31.05,21.58,16074
1994 / 08,Queens,1951598,26.65,,160.9,0,23.31,27.98,18.64,13928
1994 / 09,Queens,1951598,26.65,,84.6,0,19.79,24.29,15.29,13605
1994 / 10,Queens,1951598,26.65,,34.3,0,14.43,19.21,9.66,14276
1994 / 11,Queens,1951598,26.65,,110.3,0,11.07,15.28,6.87,9481
1994 / 12,Queens,1951598,26.65,,73.8,0,5.64,9.4,1.89,9832
1994 / 01,Staten Island,378977,5.18,,142.7,305,-3.6,0.66,-7.85,7654
1994 / 02,Staten Island,378977,5.18,,87.4,671,-0.79,3.3,-4.88,10884
1994 / 03,Staten Island,378977,5.18,,160.6,206,4.81,8.89,0.72,11393
1994 / 04,Staten Island,378977,5.18,,61.6,0,13.12,18.44,7.8,15262
1994 / 05,Staten Island,378977,5.18,,107.9,0,16.54,22.42,10.65,18539
1994 / 06,Staten Island,378977,5.18,,81.6,0,23.98,29.26,18.7,18127
1994 / 07,Staten Island,378977,5.18,,98,0,26.32,31.05,21.58,16074
1994 / 08,Staten Island,378977,5.18,,160.9,0,23.31,27.98,18.64,13928
1994 / 09,Staten Island,378977,5.18,,84.6,0,19.79,24.29,15.29,13605
1994 / 10,Staten Island,378977,5.18,,34.3,0,14.43,19.21,9.66,14276
1994 / 11,Staten Island,378977,5.18,,110.3,0,11.07,15.28,6.87,9481
1994 / 12,Staten Island,378977,5.18,,73.8,0,5.64,9.4,1.89,9832
1995 / 01,Bronx,1203789,16.44,,95.4,5,3.07,6.19,-0.05,8194
1995 / 02,Bronx,1203789,16.44,,79.5,295,-0.24,3.79,-4.28,10605
1995 / 03,Bronx,1203789,16.44,,31.9,0,7.21,11.63,2.79,12736
1995 / 04,Bronx,1203789,16.44,,58.2,0,11.06,16.33,5.79,15725
1995 / 05,Bronx,1203789,16.44,,72.2,0,16.6,21.16,12.04,12526
1995 / 06,Bronx,1203789,16.44,,53.2,0,22.12,26.85,17.39,13686
